Question,Answer
"When performing wall walking, what is the initial position before leaning backwards?
A) Sitting on the floor
B) Standing with one's back to the wall
C) Lying face up on the floor
D) In a handstand position",B
"During wall walking, how does one make contact with the wall?
A) By pressing the back against the wall
B) By pressing one's palms into the wall from the front
C) By pressing one's palms into the wall from behind
D) By pressing the feet into the wall",C
"To increase the difficulty of the wall walking exercise, what additional movement can be performed?
A) ""Walking"" with the feet along the wall
B) ""Walking"" with the hands along the wall all the way back up again
C) Jumping off the wall with the legs
D) Performing a somersault away from the wall",B
"In rope climbing competitions, what is the diameter of the natural fiber rope used?
A) 25 mm
B) 38 mm
C) 42 mm
D) 50 mm",B
"What action has been taken against attempts to bolt routes at Clogwyn Du'r Arddu, such as Indian Face?
A) Encouragement of bolting for safety
B) Installation of additional bolts for difficult routes
C) Bolts have been added to improve route safety
D) Bolts have been removed to preserve the traditional climbing approach",D
"Who made the historic first free ascent of Realization/Biographie, as documented in Dosage Volume I?
A) Jerry Moffatt
B) Ben Moon
C) Chris Sharma
D) Adam Ondra",C
"Who is the American sport climbing pioneer who recounted the opposition of traditional climbers to both bolts and redpointing techniques?
A) Patrick Edlinger
B) Wolfgang Güllich
C) Alan Watts
D) Jerry Moffatt",C
"What distinguishes sport climbing from free solo climbing?
A) The use of a belayer
B) The lack of any climbing protection
C) The use of pre-drilled bolts for protection
D) The requirement to climb in pairs",C
"Approximately how many years is the expected lifespan of the highest quality stainless steel bolts used in sport climbing?
A) 10—15 years
B) 20—25 years
C) 30—35 years
D) 40—45 years",B
"Which type of bolts have a shorter lifespan than the highest quality stainless steel bolts?
A) Titanium bolts
B) Cheaper plated stainless steel bolts
C) Carbon fiber bolts
D) Aluminum bolts",B
"In sport climbing, why are routes graded solely for their technical difficulty?
A) Because the risk is eliminated by using bolts
B) Because it is based on the climber's experience
C) Because the weather affects the grading
D) Because of the type of climbing gear used",A
"What does the grading of sport climbing routes NOT take into account?
A) The physical movements to ascend the route
B) The type of equipment used
C) The risk factor
D) The climber's personal style",C
"The Australian system for grading sport climbing routes is also known as the _______ system.
A) French
B) American
C) UIAA
D) Ewbank",D
"In sport climbing, what is the main purpose of using quickdraws when clipping the rope into the bolts?
A) To generate friction
B) To avoid rope drag
C) To measure the length of the route
D) To secure the belay device",B
"Which of the following is NOT a standard piece of equipment required for lead climbing in sport climbing?
A) Harness
B) Quickdraws
C) Belay device
D) Traditional camming devices",D
"On complex sport climbing routes, why is the alignment and length of quickdraws important?
A) To make the climb more challenging
B) To reduce the weight of the equipment
C) To avoid rope drag and ensure smooth climbing
D) To increase the friction for better grip",C
"What term is used in sport climbing to describe a first free ascent where the climber ascends the route without falling or resting on the gear, but the quickdraws are pre-attached to the bolts?
A) Hangdogging
B) Headpointing
C) Pinkpointing
D) Redpointing",C
"In sport climbing, which technique has become the standard definition of a first free ascent (FFA) across all climbing disciplines?
A) Hangdogging
B) Headpointing
C) Pinkpointing
D) Redpointing",D
"Which climbing area in Spain is known for being fully bolted?
A) Montserrat
B) Siurana
C) Oliana
D) El Chorro",C
"Which climber dominated female sport climbing in the late 1990s and early 2000s?
A) Lynn Hill
B) Catherine Destivelle
C) Josune Bereziartu
D) Angela Eiter",C
"Which climber was among the first to compete in climbing competitions and set new female grade milestones in the 1980s?
A) Lynn Hill
B) Catherine Destivelle
C) Josune Bereziartu
D) Laura Rogora",A
"Who took on the mantle of the world's strongest sport climber from Chris Sharma?
A) Adam Ondra
B) Wolfgang Güllich
C) Angela Eiter
D) Lynn Hill",A
"What was the highest female sport climbing route grade achieved by 2017?
A) 9a (5.14d)
B) 9a+ (5.15a)
C) 9b (5.15b)
D) 9b+ (5.15c)",C
"What is the title of the 2019 documentary film that explores the emergence of sport climbing in Britain during the 1980s?
A) Statement of Youth
B) Reel Rock 7
C) Dosage Volume I
D) The Climbing Revolution",A
"By the early 1980s, leading rock climbers were reaching the limits of traditional climbing protection devices and looked to climb ________ rock faces.
A) blanker-looking
B) crack-filled
C) fissure-rich
D) boulder-strewn",A
"What is the name of the route in Buoux that became an early example of a sport climbing route?
A) Chain Reaction 5.12c
B) Watts Tot 5.12b
C) Pichenbule 7b+
D) Redpoint Revolution",C
"The practice of ""redpointing"" was controversial among traditional climbers for its technique of ________.
A) using advanced gear
B) climbing without ropes
C) practicing new routes before the first free ascent
D) avoiding the use of bolts",C
